sentence_1;sentence_2;similarity_score
Accommodation bureau services [apartments];Real estate affairs;1.0
Business consultancy and advisory services;Business consulting;1.0
Business management of retail outlets;Business management;1.0
Services for providing food and drink;Banqueting services;1.0
Services for providing food and drink;Restaurant services;1.0
Services for providing food and drink;Tourist restaurants;1.0
Business management of sports people;Business management;1.0
Alcoholic beverages except for beer;Spirits [beverages];1.0
Banking cards [encoded or magnetic];Magnetic data media;1.0
Measuring apparatus and instruments;Digital multimeters;1.0
Organization of sports competitions;Sporting activities;1.0
Providing amusement arcade services;Video game services;1.0
Biometric identification apparatus;Electronic scanners;1.0
Alcoholic beverages (except beer);Distilled beverages;1.0
Alcoholic beverages (except beer);Peppermint liqueurs;1.0
Alcoholic beverages (except beer);Sparkling red wines;1.0
Alcoholic beverages (except beer);Spirits [beverages];1.0
Jewellery and imitation jewellery;Amulets [jewellery];1.0
Optical apparatus and instruments;Spectacles [optics];1.0
Professional business consultancy;Business assistance;1.0
Management of commercial affairs;Business management;1.0
Providing of food and drink food;Restaurant services;1.0
Parts and fittings for vehicles;Brakes for vehicles;1.0
Rental of offices [real estate];Real estate affairs;1.0
Rental of skin diving equipment;Sporting activities;1.0
Adhesives for use in industry;Cement for footwear;1.0
Human hygiene and beauty care;Pedicurist services;1.0
Pressure measuring apparatus;Measuring apparatus;1.0
Rental of stadium facilities;Sporting activities;1.0
Sound transmitting apparatus;Telephone apparatus;1.0
Sound transmitting apparatus;Telephone receivers;1.0
Pharmaceutical preparations;Tooth prophylactics;1.0
Providing sports facilities;Sporting activities;1.0
Real estate agency services;Real estate affairs;1.0
Syrups for making beverages;Syrups for lemonade;1.0
Apartment house management;Real estate affairs;1.0
Advice on tax preparation;Business consulting;1.0
Human healthcare services;Meditation services;1.0
Human healthcare services;Trichology services;1.0
Nonalcoholic fruit drinks;Nonalcoholic drinks;1.0
Office functions services;Business assistance;1.0
Rental of sports grounds;Sporting activities;1.0
Bells [warning devices];Electric door bells;1.0
Digital recording media;Magnetic data media;1.0
Materials for dressings;Gauze for dressings;1.0
Provident fund services;Investment services;1.0
Serving food and drinks;Tourist restaurants;1.0
Temporary accommodation;Temporary room hire;1.0
Timing of sports events;Sporting activities;1.0
Entertainment services;Theatre productions;1.0
Real estate management;Real estate affairs;1.0
Chutneys [condiments];Sauces [condiments];1.0
Real estate appraisal;Real estate affairs;1.0
Real estate brokerage;Real estate affairs;1.0
Rental of real estate;Real estate affairs;1.0
Cakes of toilet soap;Antiperspirant soap;1.0
Edible oils and fats;Sesame oil for food;1.0
Industrial chemicals;Curing preparations;1.0
Printed publications;Manuals [handbooks];1.0
Real estate services;Real estate affairs;1.0
Rental of apartments;Real estate affairs;1.0
Business management;Business appraisals;1.0
Business management;Business assistance;1.0
Cost price analysis;Business management;1.0
Frameworks of metal;Duckboards of metal;1.0
Investment services;Derivatives trading;1.0
Investment services;Investment research;1.0
Magnetic data media;Pre-recorded videos;1.0
Restaurant services;Banqueting services;1.0
Sauces [condiments];Dressings for salad;1.0
Shellfish, not live;Abalones [not live];1.0
Smoking accessories;Personal vaporisers;1.0
Spirits [beverages];Distilled beverages;1.0
Sporting activities;Sport camp services;1.0
Telephone apparatus;Cordless telephones;1.0
Insurance services;Insurance brokerage;1.0
Jackets [clothing];Clothing of leather;1.0
Jackets [clothing];Waterproof clothing;1.0
Lighting apparatus;Halogen light bulbs;1.0
Lighting apparatus;Lights for vehicles;1.0
Lighting apparatus;Roof lights [lamps];1.0
Lighting apparatus;Solar powered lamps;1.0
Scouring solutions;Scouring substances;1.0
Sweetmeats [candy];Non-medicated candy;1.0
Teaching apparatus;Measuring apparatus;1.0
Finance services;Clearing, financial;1.0
Finance services;Investment services;1.0
Recorded content;Magnetic data media;1.0
Adding machines;Accounting machines;1.0
Heating boilers;Radiators [heating];1.0
Pressure gauges;Measuring apparatus;1.0
Rent collection;Real estate affairs;1.0
Rental of farms;Real estate affairs;1.0
Wearing apparel;Clothing of leather;1.0
Fish, not live;Sea bream, not live;1.0
Fish, not live;Swordfish, not live;1.0
Metal hardware;Metal hose fittings;1.0
Natural plants;Garden herbs, fresh;1.0
Printed matter;Manuals [handbooks];1.0
Printed matter;Printed invitations;1.0
Rice all types;Natural rice flakes;1.0
Baking powder;Ferments for pastes;1.0
Confectionery;Non-medicated candy;1.0
Lighting fuel;Illuminating grease;1.0
Bakery goods;Cereal preparations;1.0
Golden syrup;Syrups and treacles;1.0
Toothbrushes;Manual toothbrushes;1.0
Fertilizers;Organic fertilizers;1.0
Fertilizers;Salts [fertilizers];1.0
Toilet soap;Antiperspirant soap;1.0
Condiments;Sauces [condiments];1.0
Stationery;Writing instruments;1.0
Toiletries;Personal deodorants;1.0
Cosmetics;After-shave lotions;1.0
Cosmetics;Antiperspirant soap;1.0
Cosmetics;Aromatherapy creams;1.0
Cosmetics;Conditioning creams;1.0
Cosmetics;Eye wrinkle lotions;1.0
Cosmetics;Make up foundations;1.0
Cosmetics;Mousses [cosmetics];1.0
Furniture;Benches [furniture];1.0
Jewellery;Amulets [jewellery];1.0
Jewellery;Crosses [jewellery];1.0
Jewellery;Enamelled jewellery;1.0
Jewellery;Lockets [jewellery];1.0
Raincoats;Waterproof clothing;1.0
Transport;Rental of sailboats;1.0
Transport;Transport brokerage;1.0
Underwear;Socks and stockings;1.0
Bicycles;Children's bicycles;1.0
Clothing;Bandeaux [clothing];1.0
Clothing;Clothing of leather;1.0
Clothing;Formal evening wear;1.0
Clothing;Knitwear [clothing];1.0
Clothing;Layettes [clothing];1.0
Clothing;Leggings [trousers];1.0
Clothing;Long-sleeved shirts;1.0
Clothing;Masquerade costumes;1.0
Clothing;Motorists' clothing;1.0
Clothing;Mufflers [clothing];1.0
Clothing;Oilskins [clothing];1.0
Clothing;Socks and stockings;1.0
Clothing;Turtleneck sweaters;1.0
Clothing;Waterproof clothing;1.0
Headgear;Caps being headwear;1.0
Headgear;Headdresses [veils];1.0
Training;Coaching [training];1.0
Vehicles;Automotive vehicles;1.0
Sensors;Measuring apparatus;1.0
Sauces;Dressings for salad;1.0
Sweets;Non-medicated candy;1.0
Coats;Clothing for skiing;1.0
Lamps;Lights for vehicles;1.0
Pants;Clothing for skiing;1.0
Pants;Clothing of leather;1.0
Pants;Knitwear [clothing];1.0
Pants;Waterproof clothing;1.0
Vodka;Spirits [beverages];1.0
Soap;Antiperspirant soap;1.0
Wine;Semisparkling wines;1.0
Wine;Sparkling red wines;1.0
Streaming of audio content via a global computer network;Radio broadcasting;1.0
Streaming of audio content via a global computer network;Telephone services;1.0
Agricultural products not included in other classes;Groats for poultry;1.0
Agricultural products not included in other classes;Unprocessed lemons;1.0
Resuscitation mannequins [teaching apparatus];Teaching apparatus;1.0
Insulating materials produced from plastics;Insulating matting;1.0
Consultancy services relating to insurance;Insurance services;1.0
Horological and chronometric instruments;Mechanical watches;1.0
Publicity and sales promotion services;Promotion services;1.0
Services for providing food and drink;Cafeteria services;1.0
Services for providing food and drink;Cake shop services;1.0
Services for providing food and drink;Snack-bar services;1.0
Agricultural produce (Unprocessed -);Groats for poultry;1.0
Agricultural produce (Unprocessed -);Unprocessed lemons;1.0
Grains not included in other classes;Groats for poultry;1.0
Veterinary apparatus and instruments;Dental instruments;1.0
Alcoholic beverages (except beer);Anisette [liqueur];1.0
Arranging transportation of goods;Transport services;1.0
Foodstuffs and fodder for animals;Beverages for pets;1.0
Foodstuffs and fodder for animals;Groats for poultry;1.0
Optical apparatus and instruments;Anti-glare glasses;1.0
Optical apparatus and instruments;Goggles for sports;1.0
Plasters, materials for dressings;Adhesive dressings;1.0
Waste treatment [transformation];Recycling of waste;1.0
Waste treatment [transformation];Waste incineration;1.0
Vermin destroying preparations;Fly catching paper;1.0
Adhesives for use in industry;Mastic for leather;1.0
Human hygiene and beauty care;Beauty consultancy;1.0
Human hygiene and beauty care;Cosmetic treatment;1.0
Human hygiene and beauty care;Nail care services;1.0
Financial valuation services;Financing services;1.0
Compact discs [audio-video];Optical data media;1.0
Freight-forwarding services;Transport by water;1.0
Correcting lenses [optics];Corrective eyewear;1.0
Freight and cargo services;Transport services;1.0
Telecommunication services;Telephone services;1.0
Appliances for gymnastics;Stomach exercisers;1.0
Data processing apparatus;Portable computers;1.0
Human healthcare services;Cosmetic dentistry;1.0
Human healthcare services;Genetic counseling;1.0
Human healthcare services;Health counselling;1.0
Human healthcare services;Nutritional advice;1.0
Human healthcare services;Sedation dentistry;1.0
Digital recording media;Digital recordings;1.0
Materials for dressings;Dressings, medical;1.0
Materials for dressings;Surgical dressings;1.0
Dishwashing detergents;Dishwasher tablets;1.0
Insurance underwriting;Insurance services;1.0
Crustaceans, not live;Lobsters, not live;1.0
Fish-based foodstuffs;Fish roe, prepared;1.0
Fish-based foodstuffs;Frozen cooked fish;1.0
Insurance consultancy;Insurance services;1.0
Spatulas [hand tools];Artists' materials;1.0
Bookbinding material;Bookbinding strips;1.0
Destruction of waste;Waste incineration;1.0
Numismatic appraisal;Valuation services;1.0
Business appraisals;Valuation services;1.0
Business management;Business inquiries;1.0
Investment services;Financial analysis;1.0
Jewellery appraisal;Valuation services;1.0
Magnetic data media;Digital recordings;1.0
Sauces [condiments];Sauces for chicken;1.0
Shellfish, not live;Lobsters, not live;1.0
Actuarial services;Insurance services;1.0
Jackets [clothing];Motorcycle jackets;1.0
Music broadcasting;Radio broadcasting;1.0
Phonograph records;Digital recordings;1.0
Readymade clothing;Jackets [clothing];1.0
Soles for footwear;Intermediate soles;1.0
Travel arrangement;Travel consultancy;1.0
Animal foodstuffs;Beverages for pets;1.0
Animal foodstuffs;Groats for poultry;1.0
Antique appraisal;Valuation services;1.0
Computer hardware;Computer keyboards;1.0
Computer hardware;Notebook computers;1.0
Drawing materials;Artists' materials;1.0
Painters' brushes;Artists' materials;1.0
Finance services;Capital investment;1.0
Finance services;Capital management;1.0
Finance services;Financial analysis;1.0
Finance services;Valuation services;1.0
Medical services;Cosmetic dentistry;1.0
Medical services;Sedation dentistry;1.0
Stamp appraisal;Valuation services;1.0
Wound dressings;Dressings, medical;1.0
Contact lenses;Corrective eyewear;1.0
Fish, not live;Herrings, not live;1.0
Fish, not live;Sardines, not live;1.0
Rubber erasers;Artists' materials;1.0
Vehicle rental;Motor coach rental;1.0
Vehicle rental;Transport services;1.0
Art appraisal;Valuation services;1.0
Compact discs;Digital recordings;1.0
Compact discs;Optical data media;1.0
Confectionery;Chocolate products;1.0
Energy drinks;Isotonic beverages;1.0
Mail delivery;Transport of goods;1.0
Potato crisps;Vegetables, cooked;1.0
Rubber sheets;Semi-worked rubber;1.0
Windows metal;Casements of metal;1.0
Bakery goods;Macaroons [pastry];1.0
Bar services;Snack-bar services;1.0
Golden syrup;Natural sweeteners;1.0
Advertising;Promotion services;1.0
Advertising;Targeted marketing;1.0
Animal feed;Groats for poultry;1.0
Flower pots;Gardening articles;1.0
Cardboard;Artists' materials;1.0
Chocolate;Chocolate products;1.0
Computers;Teaching apparatus;1.0
Cosmetics;Anti-wrinkle cream;1.0
Cosmetics;Beauty balm creams;1.0
Cosmetics;Hair styling waxes;1.0
Cosmetics;Powder for make-up;1.0
Furniture;Cradles for babies;1.0
Furniture;Dining room tables;1.0
Furniture;Furniture of metal;1.0
Jewellery;Precious jewellery;1.0
Marketing;Internet marketing;1.0
Perfumery;Scented body spray;1.0
Pince-nez;Corrective eyewear;1.0
Transport;Freight forwarding;1.0
Transport;Transport by water;1.0
Bicycles;Motorised bicycles;1.0
Clothing;Bodices [lingerie];1.0
Clothing;Bottoms [clothing];1.0
Clothing;Button down shirts;1.0
Clothing;Collars [clothing];1.0
Clothing;Cyclists' clothing;1.0
Clothing;Hooded sweatshirts;1.0
Clothing;Long sleeved vests;1.0
Clothing;Longsleeved shirts;1.0
Clothing;Maillots [hosiery];1.0
Clothing;Readymade clothing;1.0
Clothing;Shortsleeve shirts;1.0
Clothing;Sleeveless jackets;1.0
Clothing;Sleeveless jerseys;1.0
Clothing;Triathlon clothing;1.0
Clothing;Volleyball jerseys;1.0
Clothing;Weatherproof pants;1.0
Clothing;Windproof clothing;1.0
Coatings;Silicone varnishes;1.0
Footwear;Footwear for women;1.0
Headgear;Bonnets [headwear];1.0
Lanterns;Lighting apparatus;1.0
Teaching;Aikido instruction;1.0
Teaching;Karate instruction;1.0
Vehicles;Sleighs [vehicles];1.0
Pencils;Artists' materials;1.0
Coffee;Mixtures of coffee;1.0
Fodder;Groats for poultry;1.0
Honey;Natural ripe honey;1.0
